Description,Carbohydrate (g),Protein (g),Total Fat (g),Kilocalories,Fiber (g),Sugar Total (g),Calcium (mg),Iron (mg),Vitamin C (mg),Vitamin E (mg),Sodium (mg),Cholesterol (mg)
"GINGER,GROUND",70.79,9.12,5.95,347,12.5,3.390000105,116,11.52,7.0,18.02,32,0
"MACE,GROUND",50.5,6.71,32.38,475,20.20000076,0.0,252,13.9,21.0,0.0,80,0
"MARJORAM,DRIED",60.56,12.66,7.04,271,40.29999924,4.090000153,1990,82.71,51.4,1.69,77,0
"MUSTARD SEED,YELLOW",34.94,24.94,28.76,469,14.69999981,6.789999962,521,9.98,3.0,2.89,5,0
"NUTMEG,GROUND",49.29,5.84,36.31,525,20.79999924,28.48999977,184,3.04,3.0,0.0,16,0
ONION POWDER,80.67,10.12,1.05,347,5.699999809,35.47999954,363,2.56,14.7,0.27,54,0
"SPICES,OREGANO,DRIED",64.43,11.0,10.25,306,42.79999924,4.090000153,1576,44.0,50.0,18.86,15,0
PAPRIKA,55.74,14.76,12.95,289,37.40000153,10.34000015,177,23.59,71.1,29.83,34,0
"PARSLEY,DRIED",51.66,22.42,4.43,276,30.39999962,7.269999981,1468,97.86,122.0,6.91,452,0
"PEPPER,BLACK",64.81,10.95,3.26,255,26.5,0.639999986,437,28.86,21.0,0.72,44,0
"PEPPER,RED OR CAYENNE",56.63,12.01,17.27,318,27.20000076,10.34000015,148,7.8,76.4,29.83,30,0
"PEPPER,WHITE",68.61,10.4,2.12,296,26.20000076,0.0,265,14.31,21.0,0.0,5,0
POPPY SEED,28.13,17.99,41.56,525,19.5,2.99000001,1438,9.76,1.0,1.77,26,0
POULTRY SEASONING,65.59,9.59,7.53,307,11.30000019,3.079999924,996,35.3,12.0,1.32,27,0
PUMPKIN PIE SPICE,69.28,5.76,12.6,342,14.80000019,7.760000229,682,19.71,23.4,0.83,52,0
"ROSEMARY,DRIED",64.06,4.88,15.22,331,42.59999847,0.0,1280,29.25,61.2,0.0,50,0
SAFFRON,65.37,11.43,5.85,310,3.900000095,0.0,111,11.1,80.8,0.0,148,0
"SAGE,GROUND",60.73,10.63,12.75,315,40.29999924,1.710000038,1652,28.12,32.4,7.48,11,0
"SAVORY,GROUND",68.73,6.73,5.91,272,45.70000076,0.0,2132,37.88,50.0,0.0,24,0
"SPICES,TARRAGON,DRIED",50.22,22.77,7.24,295,7.400000095,0.0,1139,32.3,50.0,0.0,62,0
"SPICES,THYME,DRIED",63.94,9.11,7.43,276,37.0,1.710000038,1890,123.6,50.0,7.48,55,0
"TURMERIC,GROUND",64.93,7.83,9.88,354,21.10000038,3.210000038,183,41.42,25.9,3.1,38,0
"BASIL,FRESH",2.65,3.15,0.64,23,1.600000024,0.300000012,177,3.17,18.0,0.8,4,0
"DILL WEED,FRSH",7.02,3.46,1.12,43,2.099999905,0.0,208,6.59,85.0,0.0,61,0
"MUSTARD,PREPARED,YELLOW",5.33,4.37,4.01,67,3.299999952,0.860000014,58,1.51,1.5,0.36,1135,0
"SALT,TABLE",0.0,0.0,0.0,0,0.0,0.0,24,0.33,0.0,0.0,38758,0
"VINEGAR,CIDER",0.93,0.0,0.0,21,0.0,0.400000006,7,0.2,0.0,0.0,5,0
"THYME,FRSH",24.45,5.56,1.68,101,14.0,0.0,405,17.45,160.1,0.0,9,0
VANILLA EXTRACT,12.65,0.06,0.06,288,0.0,12.64999962,11,0.12,0.0,0.0,9,0
"VANILLA EXTRACT,IMITN,ALCOHOL",2.41,0.05,0.0,237,0.0,0.0,0,0.13,0.0,0.0,4,0
"VANILLA EXTRACT,IMITN,NO ALCOHOL",14.4,0.03,0.0,56,0.0,14.39999962,3,0.05,0.0,0.0,3,0
"VINEGAR,DISTILLED",0.04,0.0,0.0,18,0.0,0.039999999,6,0.03,0.0,0.0,2,0
"CAPERS,CANNED",4.89,2.36,0.86,23,3.200000048,0.409999996,40,1.67,4.3,0.88,2964,0
"HORSERADISH,PREPARED",11.29,1.18,0.69,48,3.299999952,7.989999771,56,0.42,24.9,0.01,314,0
"ROSEMARY,FRESH",20.7,3.31,5.86,131,14.10000038,0.0,317,6.65,21.8,0.0,26,0
"PEPPERMINT,FRESH",14.89,3.75,0.94,70,8.0,0.0,243,5.08,31.8,0.0,31,0
"SPEARMINT,FRESH",8.41,3.29,0.73,44,6.800000191,0.0,199,11.87,13.3,0.0,30,0
"SPEARMINT,DRIED",52.04,19.93,6.03,285,29.79999924,0.0,1488,87.47,0.0,0.0,344,0
"VINEGAR,RED WINE",0.27,0.04,0.0,19,0.0,0.0,6,0.45,0.5,0.0,8,0
"VINEGAR,BALSAMIC",17.03,0.49,0.0,88,0.0,14.94999981,27,0.72,0.0,0.0,23,0
"CAMPBELL SOUP CO,PACE,DRY TACO SEAS MIX",56.29,0.0,0.0,188,18.79999924,18.76000023,0,6.75,45.0,0.0,8068,0
"BABYFOOD,MEAT,BF,STR",2.43,12.03,2.52,81,0.0,0.0,5,0.98,2.1,0.37,46,51
"BABYFOOD,MEAT,BF,STR",2.43,12.03,2.52,81,0.0,0.0,5,0.98,2.1,0.37,46,51
"BABYFOOD,MEAT,VEAL,STR",1.51,13.12,2.45,81,0.0,0.0,6,0.76,0.0,0.28,39,33
"BABYFOOD,MEAT,PORK,STR",0.0,14.0,7.1,124,0.0,0.0,5,1.0,1.8,0.4,42,48
"BABYFOOD,MEAT,HAM,STR",3.7,11.3,3.8,97,0.0,0.0,6,1.03,2.1,0.13,41,24
"BABYFOOD,MEAT,HAM,JUNIOR",3.7,11.3,3.8,97,0.0,0.0,5,1.01,2.1,0.4,67,29
"BABYFOOD,MEAT,LAMB,STR",0.85,14.07,3.41,87,0.0,0.0,7,1.19,1.2,0.19,43,36
"BABYFOOD,MEAT,LAMB,JUNIOR",0.0,15.2,5.2,112,0.0,0.0,7,1.66,1.7,0.4,73,38
"BABYFOOD,MEAT,CHICK,STR",0.1,13.7,7.9,130,0.0,0.0,64,1.4,1.7,0.25,47,61
"BABYFOOD,MEAT,CHICK,JR",0.0,14.0,9.6,146,0.0,0.0,55,0.99,1.5,0.4,51,59
"BABYFOOD,MEAT,CHICK STKS,JR",1.5,14.6,14.4,188,0.200000003,1.399999976,73,1.56,1.7,0.37,479,78
"BABYFOOD,MEAT,TURKEY,STR",1.4,11.5,6.2,111,0.0,0.0,41,0.7,2.2,0.08,47,58
"BABYFOOD,MEAT,TURKEY,JR",1.4,11.5,6.2,111,0.0,0.0,41,0.7,0.0,0.08,47,58
"BABYFOOD,MEAT,TURKEY STKS,JR",1.4,13.7,14.2,182,0.5,1.399999976,72,1.24,1.5,0.37,483,65
"BABYFOOD,MEAT,MEAT STKS,JR",1.1,13.4,14.6,184,0.200000003,0.800000012,34,1.38,2.4,0.28,547,70
"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,STR",7.7,2.0,0.9,48,0.0,0.0,14,0.39,0.8,0.24,49,0
"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,JR",8.0,2.1,0.8,48,0.0,0.0,14,0.47,0.8,0.0,52,0
"BABYFOOD,DINNER,BF LASAGNA,TODD",10.0,4.2,2.1,77,0.0,0.0,18,0.87,1.9,0.0,454,0
"BABYFOOD,DINNER,MACARONI&TOMATO&BF,STR",9.45,2.36,1.47,61,1.200000048,2.089999914,17,0.46,0.3,2.62,38,7
"BABYFOOD,DINNER,MACARONI&TOMATO&BF,JR",9.4,2.5,1.1,59,1.100000024,2.430000067,14,0.36,1.5,0.81,17,4
"BABYFOOD,RAVIOLI,CHS FILLED,W/TOMATO SAU",16.3,3.6,2.2,99,0.100000001,0.589999974,54,0.8,0.1,0.42,297,7
"BABYFOOD,DINNER,BF NOODLE,STR",8.18,2.44,2.26,63,1.299999952,1.419999957,10,0.41,0.1,0.31,15,8
"BABYFOOD,MACARONI&CHS,TODD",11.2,3.5,2.6,83,0.5,0.790000021,102,0.6,0.0,0.01,230,7
"BABYFOOD,DINNER,BF&RICE,TODD",8.8,5.0,2.9,82,0.0,0.0,11,0.69,3.9,0.0,357,0
"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JR",11.42,2.57,1.37,68,1.100000024,2.720000029,15,0.53,0.2,0.07,75,5
"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,TODD",10.8,5.3,1.0,75,0.0,0.0,22,0.9,4.1,0.0,358,0
"BABYFOOD,DINNER,BF STEW,TODD",5.5,5.1,1.2,51,1.100000024,1.389999986,9,0.72,3.0,0.5,345,13
"BABYFOOD,DINNER,VEG&BF,STR",8.84,2.21,3.6,77,1.299999952,2.339999914,17,0.35,0.2,0.49,21,7
"BABYFOOD,DINNER,VEG&BF,JR",8.84,2.21,3.6,77,1.299999952,2.339999914,17,0.35,0.2,0.49,21,7
"BABYFOOD,DINNER,BF W/VEG",6.36,2.03,6.93,96,1.799999952,2.160000086,19,0.33,0.0,0.57,23,12
"BABYFOOD,DINNER,VEG&BACON,STR",8.81,1.92,2.95,69,1.700000048,1.769999981,14,0.3,0.3,0.51,49,4
"BABYFOOD,DINNER,VEG&HAM,STR",7.8,2.19,2.14,59,1.600000024,1.370000005,16,0.41,1.6,0.31,16,5
"BABYFOOD,DINNER,VEG&HAM,JR",8.65,2.02,1.89,60,1.0,0.99000001,14,0.24,1.1,0.31,87,3
"BABYFOOD,DINNER,VEG&LAMB,STR",6.9,2.0,2.0,52,1.100000024,0.939999998,12,0.35,1.2,0.24,20,6
"BABYFOOD,DINNER,VEG&LAMB,JR",7.1,2.1,1.7,51,1.100000024,0.939999998,13,0.34,1.7,0.24,13,5
"BABYFOOD,DINNER,CHICK NOODLE,STR",9.08,2.69,2.06,66,2.099999905,2.5,27,0.64,0.1,0.21,23,16
"BABYFOOD,DINNER,CHICK NOODLE,JR",8.79,2.37,1.18,55,0.899999976,1.070000052,21,0.38,0.1,0.15,78,9
"BABYFOOD,DINNER,CHICK SOUP,STR",7.2,1.6,1.7,50,1.100000024,1.720000029,37,0.27,1.0,0.51,16,4
"BABYFOOD,DINNER,CHICK STEW,TODD",6.4,5.2,3.7,78,0.600000024,1.679999948,36,0.66,1.9,0.22,200,29
"BABYFOOD,DINNER,VEG CHICK,STR",8.42,2.47,1.73,59,2.099999905,1.580000043,27,0.53,0.1,0.32,24,11
"BABYFOOD,DINNER,VEG,NOODLES&CHICK,STR",7.9,2.0,2.5,63,1.100000024,0.0,28,0.35,0.7,0.0,20,0
"BABYFOOD,DINNER,VEG,NOODLES&CHICK,JR",9.1,1.7,2.2,64,1.100000024,0.0,26,0.49,0.8,0.0,26,0
"BABYFOOD,DINNER,PASTA W/VEG",8.4,1.7,2.1,60,1.5,1.200000048,14,0.5,2.9,0.23,11,5
"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,STR",6.8,1.2,1.2,44,1.100000024,0.0,32,0.19,0.8,0.0,21,0
"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,JR",7.6,1.8,1.5,52,1.100000024,0.0,32,0.26,0.8,0.0,17,0
"BABYFOOD,DINNER,TURKEY&RICE,STR",7.94,2.27,1.24,52,0.899999976,1.659999967,18,0.29,0.2,0.14,20,5
"BABYFOOD,DINNER,TURKEY&RICE,JR",9.57,2.37,0.92,56,1.0,1.25,24,0.41,0.3,0.31,80,4
"BABYFOOD,DINNER,VEG&TURKEY,STR",7.62,2.32,0.9,48,1.5,1.539999962,27,0.37,0.7,0.3,20,4
"BABYFOOD,DINNER,VEG&TURKEY,JR",7.55,1.72,1.74,53,0.899999976,1.360000014,16,0.36,0.4,0.31,89,4
"BABYFOOD,DINNER,VEG&TURKEY,TODD",8.0,4.8,3.4,80,0.0,0.0,46,0.6,3.4,0.0,334,0
"BABYFOOD,DINNER,MACARONI&CHS,STR",8.95,3.14,2.11,67,0.699999988,1.269999981,66,0.21,0.1,0.03,87,7
"BABYFOOD,DINNER,MACARONI&CHS,JR",8.2,2.6,2.0,61,0.300000012,1.320000052,51,0.3,1.3,0.03,76,6
"BABYFOOD,VEG,GRN BNS,STR",6.29,1.2,0.17,27,2.200000048,1.879999995,39,0.67,0.3,0.07,5,0
"BABYFOOD,VEG,GRN BNS,JR",5.7,1.2,0.1,24,1.899999976,1.080000043,65,1.08,8.4,0.32,2,0
"BABYFOOD,GRN BNS,DICES,TODD",5.7,1.2,0.2,29,1.299999952,1.059999943,27,0.4,1.7,0.31,37,0
"BABYFOOD,VEG,GRN BNS&POTATOES",9.0,2.2,1.9,62,1.399999976,2.349999905,60,0.5,1.1,0.08,18,5
"BABYFOOD,VEG,BEETS,STR",7.7,1.3,0.1,34,1.899999976,6.090000153,14,0.32,2.4,0.03,83,0
"BABYFOOD,VEG,CARROTS,STR",6.0,0.8,0.1,27,1.700000048,3.640000105,22,0.37,5.7,0.52,37,0
"BABYFOOD,VEG,CARROTS,JR",7.2,0.8,0.2,32,1.700000048,3.160000086,23,0.39,5.5,0.52,49,0
"Babyfood, vegetables, squash, strained",5.73,0.81,0.2,28,0.899999976,3.369999886,24,0.32,0.3,0.55,6,0
"BABYFOOD,VEG,SQUASH,JR",5.73,0.81,0.2,24,0.899999976,3.24000001,24,0.32,0.3,0.55,6,0
"BABYFOOD,VEG,SWT POTATOES,STR",13.2,1.1,0.1,57,1.5,4.050000191,16,0.37,9.9,0.52,20,0
"BABYFOOD,VEG,SWT POTATOES,JR",13.9,1.1,0.1,60,1.5,4.239999771,16,0.39,9.6,0.52,22,0
"BABYFOOD,POTATOES,TODDLER",11.73,1.0,0.1,52,0.899999976,0.910000026,4,0.2,10.5,0.02,57,0
"BABYFOOD,VEG,BUTTERNUT SQUASH&CORN",9.3,2.0,0.6,50,2.0,2.930000067,32,0.4,4.9,0.08,5,0
"BABYFOOD,APPLS,DICES,TODD",12.1,0.2,0.1,51,0.899999976,10.82999992,10,0.2,31.3,0.23,13,0
"BABYFOOD,FRUIT,APPLSAUC,STR",10.8,0.2,0.2,41,1.700000048,9.869999886,4,0.22,38.3,0.6,2,0
"BABYFOOD,FRUIT,APPLSAUC,JR",10.3,0.0,0.0,37,1.700000048,8.479999542,5,0.22,37.8,0.6,2,0
"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,STR",16.3,0.3,0.0,60,1.5,1.409999967,9,0.3,21.6,0.1,8,0
"BABYFOOD,VEG,CORN,CRMD,STR",14.1,1.4,0.4,57,2.099999905,1.230000019,20,0.28,2.1,0.04,43,1
"BABYFOOD,VEG,CORN,CRMD,JR",16.25,1.4,0.4,65,2.099999905,1.480000019,4,0.27,2.2,0.04,52,1
"BABYFOOD,VEG,PEAS,STR",8.36,3.27,0.43,50,2.0,2.00999999,18,0.95,0.6,0.02,7,0
"BABYFOOD,PEAS,DICES,TODD",10.3,3.9,0.8,64,3.900000095,4.130000114,21,1.0,6.0,0.45,48,0
"BABYFOOD,VEG,SPINACH,CRMD,STR",5.7,2.5,1.3,37,1.799999952,2.329999924,89,0.62,8.7,0.83,49,5
"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,JR",17.3,0.3,0.0,63,1.5,1.399999976,8,0.27,17.9,0.6,6,0
"BABYFOOD,FRUIT,BANANAS W/TAPIOCA,STR",15.3,0.4,0.1,56,1.600000024,0.379999995,5,0.2,16.7,0.6,9,0
"BABYFOOD,FRUIT,PEACHES,STR",14.48,0.94,0.33,65,1.299999952,11.5,4,0.23,46.1,1.99,6,0
"BABYFOOD,FRUIT,PEACHES,JR",14.48,0.94,0.33,65,1.299999952,11.5,4,0.23,46.1,1.99,6,0
"BABYFOOD,FRUIT,PEARS,STR",10.8,0.3,0.2,42,3.599999905,6.980000019,8,0.24,24.5,0.09,2,0
"BABYFOOD,FRUIT,PEARS,JR",11.6,0.3,0.1,43,3.599999905,7.340000153,8,0.25,22.0,0.6,2,0
"BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,STR",19.7,0.1,0.0,71,1.200000048,13.34000015,6,0.2,1.1,0.14,6,0
"BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,JR",20.5,0.1,0.0,74,1.200000048,13.64000034,6,0.22,0.8,0.6,8,0
"BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,STR",18.5,0.6,0.1,69,2.700000048,10.97000027,15,0.35,0.8,0.6,5,0
"BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,JR",18.7,0.6,0.1,70,2.700000048,10.97000027,15,0.33,0.8,0.11,2,0
"BABYFOOD,PRUNES,WO/VIT C,STR",23.52,1.0,0.2,101,2.700000048,21.20999908,21,0.4,1.3,0.55,6,0
"BABYFOOD,FRUIT DSSRT,MANGO W/ TAPIOCA",19.0,0.3,0.2,70,1.100000024,13.0,8,0.2,15.8,0.66,4,0
"BABYFOOD,PEARS,DICES,TODD",13.6,0.3,0.1,57,1.200000048,8.659999847,10,0.2,31.3,0.11,6,0
"BABYFOOD,FRUIT,APPLSAUC&APRICOTS,STR",11.64,0.2,0.2,44,1.799999952,9.25,6,0.25,18.9,0.18,3,0
"BABYFOOD,FRUIT,APPLSAUC&APRICOTS,JR",12.4,0.2,0.2,47,1.799999952,8.720000267,6,0.26,17.9,0.04,3,0
"BABYFOOD,FRUIT,APPLSAUC&CHERRIES,STR",14.1,0.0,0.0,51,1.100000024,10.81000042,1,0.3,42.8,0.12,1,0
"BABYFOOD,FRUIT,APPLSAUC&CHERRIES,JR",14.1,0.0,0.0,51,1.100000024,10.60999966,1,0.3,42.8,0.06,1,0
"BABYFOOD,FRUIT,APPLSAUC W/BANANA,JR",16.16,0.37,0.1,66,1.600000024,4.349999905,5,0.24,17.3,0.02,3,0
"BABYFOOD,FRUIT,APPLSAUC&PNAPPL,STR",10.1,0.1,0.1,37,1.5,0.0,4,0.1,28.1,0.6,2,0
"BABYFOOD,FRUIT,APPLSAUC&PNAPPL,JR",10.5,0.1,0.1,39,1.5,0.0,4,0.1,26.8,0.6,2,0
"BABYFOOD,FRUIT,APPL & RASPBERRY,STR",15.6,0.2,0.2,58,2.099999905,12.96000004,5,0.22,26.8,0.21,2,0
"BABYFOOD,FRUIT,APPL & RASPBERRY,JR",15.4,0.2,0.2,58,2.099999905,12.96000004,5,0.22,28.9,0.07,2,0
"BABYFOOD,FRUIT & VEG,APPL & SWT POTATO",15.3,0.3,0.22,64,1.399999976,11.60000038,8,0.2,6.4,0.16,2,0
"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,JR",18.4,0.2,0.1,68,1.600000024,8.409999847,7,0.13,21.2,0.02,8,0
"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,STR",17.8,0.2,0.0,65,1.600000024,10.72999954,7,0.23,19.2,0.06,6,0
"BABYFOOD,FRUIT,PEARS&PNAPPL,STR",10.9,0.3,0.1,41,2.599999905,7.789999962,10,0.25,27.5,0.04,4,0
"BABYFOOD,FRUIT,PEARS&PNAPPL,JR",11.4,0.3,0.2,44,2.599999905,7.360000134,10,0.21,16.8,0.08,1,0
"BABYFOOD,FRUIT,GUAVA&PAPAYA W/TAPIOCA,STR",17.0,0.2,0.1,63,0.0,0.0,7,0.2,80.9,0.0,4,0
"BABYFOOD,PEACHES,DICES,TODD",11.8,0.5,0.2,51,0.800000012,9.489999771,6,0.2,31.3,0.83,5,0
"BABYFOOD,FRUIT,PAPAYA&APPLSAUC W/TAPIOCA,STR",18.9,0.2,0.1,70,1.399999976,0.0,7,0.44,113.1,0.0,5,0
"BABYFOOD,FRUIT,BANANAS W/APPLS&PEARS,STR",19.7,0.9,0.22,84,1.399999976,12.76000023,5,0.3,13.9,0.08,7,0
"BABYFOOD,FRUIT,APPL&BLUEBERRY,STR",16.3,0.2,0.2,61,1.799999952,13.93000031,4,0.2,27.8,0.12,2,0
"BABYFOOD,FRUIT,APPL&BLUEBERRY,JR",16.6,0.2,0.2,62,1.799999952,8.829999924,5,0.4,13.9,0.27,13,0
"BABYFOOD,JUICE,APPLE",11.7,0.0,0.1,47,0.100000001,10.69999981,4,0.57,57.9,0.6,3,0
"BABYFOOD,APPLE-BANANA JUC",12.3,0.2,0.1,51,0.200000003,11.0,7,0.2,27.9,0.02,4,0
"BABYFOOD,JUC,APPL&PEACH",10.5,0.2,0.1,43,0.100000001,9.590000153,3,0.56,58.5,0.15,1,0
"BABYFOOD,APPLE-CRANBERRY JUC",11.49,0.0,0.02,46,0.0,6.880000114,6,0.22,27.9,0.56,5,0
"BABYFOOD,JUC,APPL&PLUM",12.3,0.1,0.0,49,0.100000001,11.53999996,5,0.62,58.2,0.04,1,0
"BABYFOOD,JUC,APPL&PRUNE",18.0,0.2,0.1,72,0.100000001,10.57999992,9,0.95,67.5,0.05,5,0
"BABYFOOD,JUICE,ORANGE",10.2,0.6,0.3,45,0.100000001,8.260000229,12,0.17,62.5,0.04,1,0
"BABYFOOD,JUC,ORANGE&APPL",10.1,0.4,0.2,43,0.0,0.0,10,0.2,76.9,0.0,3,0
"BABYFOOD,JUC,ORANGE&APPL&BANANA",11.5,0.4,0.1,47,0.100000001,10.02999973,5,0.35,32.1,0.02,4,0
"BABYFOOD,JUC,ORANGE&APRICOT",10.9,0.8,0.1,46,0.100000001,0.0,6,0.38,85.9,0.6,6,0
"BABYFOOD,JUC,ORANGE&BANANA",11.9,0.7,0.1,50,0.0,0.0,17,0.11,34.0,0.0,3,0
"BABYFOOD,JUC,ORANGE&PNAPPL",11.7,0.5,0.1,48,0.100000001,0.0,8,0.42,53.4,0.6,2,0
"BABYFOOD,JUC,PRUNE&ORANGE",16.8,0.6,0.3,70,0.0,0.0,12,0.87,63.8,0.0,2,0
"BABYFOOD,JUC,MXD FRUIT",11.6,0.1,0.1,47,0.100000001,8.460000038,8,0.34,63.6,0.04,4,0
"BABYFOOD,CRL,BARLEY,DRY",75.3,11.1,3.4,365,8.199999809,3.099999905,795,47.5,2.2,5.0,47,0
"BABYFOOD,CRL,WHL WHEAT,W/APPLS,DRY",77.1,12.6,4.8,402,12.19999981,22.20000076,600,45.0,58.3,1.13,25,0
"BABYFOOD,CEREAL,MIXED,DRY",73.3,12.2,4.4,379,7.5,0.870000005,733,47.5,2.3,3.68,39,0
"BABYFOOD,CRL,MXD,W/BANANAS,DRY",77.1,10.7,4.6,391,7.800000191,6.679999828,696,47.5,3.6,0.51,118,0
"BABYFOOD,CRL,MXD,W/APPLSAUC&BANANAS,STR",17.9,1.2,0.5,82,1.200000048,7.789999962,6,6.62,25.5,0.03,2,0
"BABYFOOD,CRL,MXD,W/ APPLSAUC & BANANAS,JR",18.4,1.2,0.4,83,1.200000048,7.789999962,4,5.61,9.1,0.03,36,0
"BABYFOOD,CRL,OATMEAL,DRY",69.65,13.07,8.0,399,9.0,3.839999914,707,51.25,0.0,4.95,5,0
"BABYFOOD,CRL,OATMEAL,W/BANANAS,DRY",73.4,12.0,6.0,393,5.199999809,13.75,651,47.5,4.7,5.0,119,0
"BABYFOOD,CRL,OATMEAL,W/APPLSAUC&BANANAS,STR",15.4,1.3,0.7,74,0.800000012,10.48999977,9,5.65,21.8,0.16,2,0
"BABYFOOD,CRL,OATMEAL,W/APPLSAUC&BANANAS,JR",15.7,1.3,0.7,75,0.800000012,9.479999542,6,7.5,24.5,0.1,31,0
"BABYFOOD,CRL,OATMEAL,W/HONEY,DRY",69.3,13.5,7.0,391,0.0,0.0,1154,67.23,0.0,0.0,47,0
"BABYFOOD,CEREAL,RICE,DRY",77.6,7.1,4.9,391,0.5,0.119999997,850,47.5,2.4,5.0,32,0
"BABYFOOD,CRL,RICE,W/APPLSAUC&BANANAS,STR",17.1,1.2,0.4,80,1.0,2.24000001,17,6.73,31.6,0.04,28,0
"BABYFOOD,CRL,W/EGG YOLKS,STR",7.0,1.9,1.8,51,0.899999976,0.0,24,0.47,0.7,0.0,33,63
"BABYFOOD,CRL,W/EGG YOLKS,JR",7.1,1.9,1.8,52,0.899999976,0.0,24,0.51,0.7,0.0,33,63
"BABYFOOD,CRL,W/EGGS,STR",8.0,2.2,1.5,58,0.0,0.0,27,0.54,0.8,0.0,38,51
"BABYFOOD,CRL,EGG YOLKS&BACON,JR",6.2,2.5,5.0,79,0.899999976,0.0,28,0.47,0.9,0.0,48,94
"BABYFOOD,OATMEAL CRL W/FRUIT,DRY,INST,TODD",74.15,10.5,7.05,402,7.800000191,11.09000015,286,14.3,2.7,2.48,200,0
"BABYFOOD,COOKIE,BABY,FRUIT",73.7,6.8,12.6,435,3.400000095,24.20000076,83,2.9,1.5,1.48,9,4
"BABYFOOD,CRACKERS,VEG",66.9,8.4,19.6,476,4.0,13.0,41,4.2,50.5,2.96,1074,0
"BABYFOOD,CRL,RICE,W/MXD FRUIT,JR",18.3,0.9,0.2,82,0.600000024,10.5,16,2.6,9.3,0.04,10,0
"BABYFOOD,CRL,HI PROT,W/APPL&ORANGE,DRY",57.6,25.4,6.5,374,7.099999905,0.0,751,47.5,3.1,0.0,104,0
"BABYFOOD,CRL,RICE,W/BANANAS,DRY",79.9,8.7,4.2,404,1.0,16.70000076,691,47.5,2.0,0.37,96,0
"BABYFOOD,COOKIES",67.1,11.8,13.2,433,0.200000003,24.89999962,101,4.18,7.0,0.46,192,0
"BABYFOOD,COOKIES,ARROWROOT",71.2,7.6,14.3,442,0.200000003,0.0,32,3.0,5.5,0.0,370,1
"BABYFOOD,PRETZELS",82.2,10.8,2.0,397,2.299999952,3.079999924,25,3.77,3.8,0.28,269,0
"BABYFOOD,TEETHING BISCUITS",78.03,9.0,5.0,398,1.899999976,28.5,100,3.55,9.1,0.23,258,0
ZWIEBACK,74.2,10.1,9.7,426,2.5,12.39999962,20,0.6,5.3,0.18,232,21
"BABYFOOD,DSSRT,DUTCH APPL,STR",19.74,0.2,0.4,75,1.399999976,17.88999939,5,0.2,21.4,0.04,16,0
"BABYFOOD,DSSRT,DUTCH APPL,JR",19.29,0.2,0.16,79,1.399999976,17.88999939,3,0.11,18.0,0.04,3,0
"BABYFOOD,CHERRY COBBLER,JR",19.2,0.3,0.1,78,0.200000003,10.39000034,5,0.1,9.3,0.03,43,0
"BABYFOOD,DSSRT,CHERRY VANILLA PUDD,STR",17.8,0.2,0.3,68,0.300000012,9.149999619,5,0.19,1.1,0.01,16,10
"BABYFOOD,DSSRT,CHERRY VANILLA PUDD,JR",18.4,0.2,0.2,69,0.300000012,16.97999954,5,0.17,1.1,0.01,15,10
"BABYFOOD,DSSRT,FRUIT PUDD,ORANGE,STR",17.7,1.1,0.9,80,0.600000024,0.0,32,0.1,9.1,0.0,20,3
"BABYFOOD,DSSRT,PEACH COBBLER,STR",17.8,0.3,0.0,65,0.699999988,10.61999989,4,0.1,20.5,0.31,7,0
"BABYFOOD,DSSRT,PEACH COBBLER,JR",18.3,0.3,0.0,67,0.699999988,11.89000034,4,0.1,20.5,0.31,9,0
"BABYFOOD,DSSRT,FRUIT PUDD,PNAPPL,STR",20.3,1.3,0.3,81,0.699999988,10.27999973,31,0.18,27.2,0.0,19,0
"BABYFOOD,DSSRT,FRUIT DSSRT,WO/VIT C,STR",16.0,0.3,0.0,59,0.600000024,12.60000038,9,0.22,2.5,0.29,14,0
"BABYFOOD,DSSRT,FRUIT DSSRT,WO/VIT C,JR",17.2,0.3,0.0,63,0.600000024,12.0,9,0.21,3.0,0.29,13,0
"BABYFOOD,DSSRT,TROPICAL FRUIT,JR",16.4,0.2,0.0,60,0.0,0.0,10,0.26,18.8,0.0,7,0
"BABYFOOD,DSSRT,CUSTARD PUDD,VANILLA,STR",16.0,1.6,2.0,85,0.0,11.5,55,0.24,0.8,0.23,28,8
"BABYFOOD,DSSRT,CUSTARD PUDD,VANILLA,JR",17.58,1.76,0.98,86,0.200000003,12.19999981,54,0.22,0.4,0.09,26,38
